건물명,전체주소,가시성등급,거리,거리등급,점포수,상권발달등급,혼잡도비율,쾌적도등급,접근성소요시간,접근성등급,추천장소이름,장소종류,추천장소여부,Longitude,Latitude,지역1,지역2,지역3,도로명,우편번호,상세주소1,상세주소2
하나 테크노빌,서울특별시 마포구 백범로 76,5,2.0110188618774134,3,228.0,5,1.1025530925160576,3,213.0,1,,공동주택,,126.940029,37.548495,서울특별시,마포구,신수동,백범로,04110,76,
노량진119안전센터,서울특별시 동작구 노량진로 187,5,1.9373914330838478,2,391.0,4,1.274201020697825,5,349.0,1,,제1종근린생활시설,,126.946956,37.513666,서울특별시,동작구,노량진동,노량진로,06902,187,
서울아파트,서울특별시 영등포구 여의나루로 121,1,0.9691136964624272,1,2138.0,1,1.8626141135104726,5,331.0,1,,공동주택,,126.930942,37.526811,서울특별시,영등포구,여의도동,여의나루로,07336,121,
서울외국인학교,서울특별시 서대문구 연희로22길 39,5,4.394565602212818,5,520.0,2,0.9129416197822241,1,2104.0,5,,교육연구시설,,126.938584,37.569901,서울특별시,서대문구,연희동,연희로22길,03723,39,
SL PARK 빌딩,서울특별시 마포구 양화진길 23,3,3.1401640664186923,4,651.0,2,1.0765143639753807,3,218.0,1,,제2종근린생활시설,,126.912621,37.547546,서울특별시,마포구,합정동,양화진길,04071,23,
두산아파트,서울특별시 서대문구 이화여대8길 62,3,3.3270610603394806,4,124.0,5,0.977268954619857,2,603.0,2,,노유자시설,,126.950144,37.559442,서울특별시,서대문구,북아현동,이화여대8길,03769,62,
영진빌딩,서울특별시 동작구 매봉로 137,5,2.372257883782739,3,533.0,2,1.3250104755287633,5,526.0,2,,제2종근린생활시설,,126.951003,37.510638,서울특별시,동작구,본동,매봉로,06916,137,
우리유앤미아파트,서울특별시 동작구 서달로 83,4,3.6808988184240867,4,404.0,4,1.162448450048809,5,748.0,2,,공동주택,,126.959761,37.500877,서울특별시,동작구,흑석동,서달로,06976,83,
럭키대현아파트,서울특별시 서대문구 이화여대길 50-5,4,3.265720338623336,4,1405.0,1,0.9357506673795457,1,332.0,1,,판매시설,,126.946541,37.559456,서울특별시,서대문구,대현동,이화여대길,03764,50,5
KnK디지털타워,서울특별시 영등포구 영신로 220,5,3.2624106217948254,4,1061.0,1,0.9735394936069987,2,550.0,2,,공장,,126.904214,37.526906,서울특별시,영등포구,영등포동8가,영신로,07228,220,
대우트럼프월드2,서울특별시 영등포구 여의동로 97,3,1.8929598439422168,2,2138.0,1,1.8626141135104726,5,174.0,1,,공동주택,,126.927013,37.517472,서울특별시,영등포구,여의도동,여의동로,07324,97,
북한강아파트,서울특별시 용산구 이촌로2가길 66,1,1.2026311243780252,2,120.5,5,2.1869272628538243,,1402.0,3,,공동주택,,126.9537,37.5266,서울특별시,용산구,이촌동,이촌로2가길,04374,66,
동작실버센터,서울특별시 동작구 노량진로32길 53,4,2.537228771940487,3,533.0,2,1.3250104755287633,5,502.0,2,,노유자시설,,126.957201,37.511599,서울특별시,동작구,본동,노량진로32길,06908,53,
한강반포지구내유선장,서울특별시 서초구 동작대로 350,1,4.78206596265199,5,256.25,4,0.9999007333353508,2,737.0,2,,제2종근린생활시설,,126.985247,37.505631,서울특별시,서초구,반포동,동작대로,06500,350,
대흥동태영아파트,서울특별시 마포구 독막로 266,3,1.628771901751192,2,363.0,4,0.9679476059068545,1,426.0,1,,공동주택,,126.943181,37.544964,서울특별시,마포구,대흥동,독막로,04153,266,
국사봉중학교,서울특별시 동작구 양녕로20길 20,3,4.141279900155671,5,251.25,4,0.9900528040084795,2,1013.0,3,,교육연구시설,,126.9447,37.4933,서울특별시,동작구,상도동,양녕로20길,07038,20,
정우빌딩,서울특별시 영등포구 당산로 247-1,5,3.4024371932592943,4,453.0,3,1.0073753960789584,2,146.0,1,,제1종근린생활시설,,126.902928,37.535669,서울특별시,영등포구,당산동6가,당산로,07222,247,1
골드캐슬,서울특별시 동작구 매봉로4길 5,5,2.6835037931311256,3,251.25,4,0.9900528040084795,2,623.0,2,,공동주택,,126.952066,37.507961,서울특별시,동작구,상도동,매봉로4길,06912,5,
(주)세아정보시스템,서울특별시 용산구 한강대로15길 11,4,2.0486782311225222,3,1097.0,1,1.075188262503883,3,446.0,1,,업무시설,,126.963472,37.525926,서울특별시,용산구,한강로3가,한강대로15길,04379,11,
